Page,Date,Title,Link
https://www.unair.ac.id/unair-news-infografik/,24/10/2022,Infografik: Gas Air Mata dan Kekerasan,https://www.unair.ac.id/infografik-gas-air-mata-dan-kekerasan/
https://www.unair.ac.id/unair-news-infografik/,17/10/2022,Infografik: Potensi Mangrove Jenu Tuban Jadi Penghasil Antibiotik,https://www.unair.ac.id/infografik-potensi-mangrove-jenu-tuban-jadi-penghasil-antibiotik/
https://www.unair.ac.id/unair-news-infografik/,06/10/2022,Infografik: Limbah Cangkang Udang Bisa Jadi Penyerap Limbah Berat,https://www.unair.ac.id/limbah-cangkang-udang-bisa-jadi-penyerap-limbah-berat/
https://www.unair.ac.id/unair-news-infografik/,07/09/2022,Infografik: UNAIR Kukuhkan Guru Besar Periode 31 Agustus 2022,https://www.unair.ac.id/infografik-unair-kukuhkan-guru-besar-periode-10-agustus-2022-2/
https://www.unair.ac.id/unair-news-infografik/,07/09/2022,Infografik: UNAIR Kukuhkan Guru Besar Periode 24 Agustus 2022,https://www.unair.ac.id/infografik-unair-kukuhkan-guru-besar-periode-24-agustus-2022/
https://www.unair.ac.id/unair-news-infografik/,07/09/2022,Infografik: UNAIR Kukuhkan Guru Besar Periode 10 Agustus 2022,https://www.unair.ac.id/infografik-unair-kukuhkan-guru-besar-periode-10-agustus-2022/
https://www.unair.ac.id/unair-news-infografik/,27/07/2022,Infografik: Daun Meniran Jadi Alternatif Sembuhkan PMK Hewan,https://www.unair.ac.id/daun-meniran-jadi-alternatif-sembuhkan-pmk-hewan/
https://www.unair.ac.id/unair-news-infografik/,12/07/2022,Infografik: Peneliti UNAIR Pecahkan Rekor Muri Bidang Stem Cell,https://www.unair.ac.id/peneliti-unair-pecahkan-rekor-muri-bidang-stem-cell/
https://www.unair.ac.id/unair-news-infografik/,20/06/2022,Infografik: SIKIA Lepasliarkan 42 Tukik,https://www.unair.ac.id/infografik-sikia-lepasliarkan-42-tukik/
https://www.unair.ac.id/unair-news-infografik/,13/06/2022,Infografik: Pengukuhan Gubes Periode 8 Juni 2022,https://www.unair.ac.id/infografik-pengukuhan-gubes-periode-8-juni-2022/
https://www.unair.ac.id/unair-news-infografik/,31/05/2022,Infografik : 3 Cara Cegah Bau Mulut,https://www.unair.ac.id/infografik-3-cara-cegah-bau-mulut/
https://www.unair.ac.id/unair-news-infografik/,13/05/2022,Infografik: Denah Lokasi UTBK di Kampus MERR (C) UNAIR Tahun 2022,https://www.unair.ac.id/infografik-denah-lokasi-utbk-di-kampus-merr-c-unair-2022/
https://www.unair.ac.id/unair-news-infografik/,13/05/2022,Infografik: Denah Lokasi UTBK di Kampus Dharmawangsa (B) UNAIR Tahun 2022,https://www.unair.ac.id/denah-lokasi-ubtk-di-kampus-dharmawangsa-b-unair-tahun-2022/
https://www.unair.ac.id/unair-news-infografik/,13/05/2022,Infografik: Denah Lokasi UTBK di Kampus Dharmahusada (A) UNAIR Tahun 2022,https://www.unair.ac.id/infografik-denah-lokasi-utbk-di-kampus-dharmahusada-a-unair-tahun-2022/
https://www.unair.ac.id/unair-news-infografik/,10/05/2022,Infografik: SMART University ala UNAIR,https://www.unair.ac.id/infografik-smart-university-ala-unair/
https://www.unair.ac.id/unair-news-infografik/page/2/,06/05/2022,Infografik: Musik Sebagai Narasi Sejarah,https://www.unair.ac.id/infografik-musik-sebagai-narasi-sejarah/
https://www.unair.ac.id/unair-news-infografik/page/2/,04/05/2022,Infografik: Taman-Taman Vertikal UNAIR,https://www.unair.ac.id/infografik-taman-taman-vertikal-unair/
https://www.unair.ac.id/unair-news-infografik/page/2/,03/05/2022,Infografik: Medali Perunggu dari Bakso,https://www.unair.ac.id/infografik-medali-perunggu-dari-bakso/
https://www.unair.ac.id/unair-news-infografik/page/2/,27/04/2022,Infografik: Tips Mudik Bawa Hewan Peliharaan,https://www.unair.ac.id/infografik-tips-mudik-bawa-hewan-peliharaan/
https://www.unair.ac.id/unair-news-infografik/page/2/,25/04/2022,Infografik: 3.000 Paket Sembako untuk Masyarakat,https://www.unair.ac.id/infografik-3-000-paket-untuk-masyarakat/
https://www.unair.ac.id/unair-news-infografik/page/2/,19/04/2022,Infografik: Tips Kontrol Kolesterol saat Puasa,https://www.unair.ac.id/infografik-tips-kontrol-kolesterol-saat-puasa/
https://www.unair.ac.id/unair-news-infografik/page/2/,18/04/2022,Infografik: Cegah Dehidrasi saat Puasa,https://www.unair.ac.id/infografik-cegah-dehidrasi-saat-puasa/
https://www.unair.ac.id/unair-news-infografik/page/2/,14/04/2022,Infografik: Rooftop Garden Universitas Airlangga,https://www.unair.ac.id/infografik-rooftop-garden-universitas-airlangga/
https://www.unair.ac.id/unair-news-infografik/page/2/,08/04/2022,Infografik: Jadwal Bus Flash Pagi-Siang UNAIR,https://www.unair.ac.id/infografik-jadwal-bus-flash-pagi-siang-unair/
https://www.unair.ac.id/unair-news-infografik/page/2/,07/04/2022,Infografik: SNMPTN UNAIR 2022,https://www.unair.ac.id/infografik-snmptn-unair-2022/
https://www.unair.ac.id/unair-news-infografik/page/2/,06/04/2022,Infografik: Mengenal Gangguan Pembohong Patologis,https://www.unair.ac.id/infografik-mengenal-gangguan-pembohong-patologi/
https://www.unair.ac.id/unair-news-infografik/page/2/,30/03/2022,Infografik: Faktor Utama Penyakit Ginjal Kronis,https://www.unair.ac.id/infografik-faktor-utama-penyakit-ginjal-kronis/
https://www.unair.ac.id/unair-news-infografik/page/2/,22/03/2022,Infografik: Konflik Rusia-Ukraina dan Harga Minyak,https://www.unair.ac.id/infografik-konflik-rusia-ukraina-dan-harga-minyak/
https://www.unair.ac.id/unair-news-infografik/page/2/,18/03/2022,Infografik: Gubes UNAIR Periode 16 Maret 2022,https://www.unair.ac.id/infografik-gubes-unair-periode-16-maret-2022/
https://www.unair.ac.id/unair-news-infografik/page/2/,01/03/2022,Infografik: Pentingnya APD Saat Mengolah Sampah,https://www.unair.ac.id/infografik-pentingnya-apd-saat-mengolah-sampah/
https://www.unair.ac.id/unair-news-infografik/page/3/,01/03/2022,Infografik: UNAIR-TNI Penuhi Kebutuhan Dokter Spesialis Indonesia,https://www.unair.ac.id/infografik-unair-tni-penuhi-kebutuhan-dokter-spesialis-indonesia/
https://www.unair.ac.id/unair-news-infografik/page/3/,01/03/2022,Infografik: Kelangkaan Minyak Goreng,https://www.unair.ac.id/infografik-kelangkaan-minyak-goreng/
https://www.unair.ac.id/unair-news-infografik/page/3/,24/02/2022,Infografik: Inovasi Pupuk dari Limbah Udang,https://www.unair.ac.id/infografik-inovasi-pupuk-dari-limbah-udang/
https://www.unair.ac.id/unair-news-infografik/page/3/,04/02/2022,Infografik: Logam Tanah Jarang,https://www.unair.ac.id/infografik-logam-tanah-jarang/
https://www.unair.ac.id/unair-news-infografik/page/3/,28/01/2022,Infografik: Cara Tingkatkan Imunitas Hadapi Varian Omicron,https://www.unair.ac.id/infografik-cara-tingkatkan-imunitas-hadapi-varian-omicron/
https://www.unair.ac.id/unair-news-infografik/page/3/,28/01/2022,Infografik: Peran Penting Sebuah Kota,https://www.unair.ac.id/infografik-peran-penting-sebuah-kota/
https://www.unair.ac.id/unair-news-infografik/page/3/,10/01/2022,Infografik: Batas Wajar Adopsi Boneka Arwah,https://www.unair.ac.id/infografik-batas-wajar-adopsi-boneka-arwah/
https://www.unair.ac.id/unair-news-infografik/page/3/,15/12/2021,Infografik: UNAIR Kukuhkan Guru Besar Periode 15 Desember 2021,https://www.unair.ac.id/infografik-unair-kukuhkan-guru-besar-periode-15-desember-2021/
